strategy,fingerprint,commit,asset,timeframe,train_end,run_date,trade_no,window,direction,entry_time,entry_price_raw,entry_price_fill,exit_time,exit_price_raw,exit_price_fill,exit_reason,bars_held,atr_at_entry,stop_loss,take_profit,size_units,position_value,equity_at_entry,gross_pnl,fees_paid,slippage_paid,costs_paid,net_pnl,return_pct,gross_return_pct,equity_after,regime_at_entry,regime_adx,regime_entropy
cheat-degraded-to-a-guess,1dd169613d57,3fd443c,BTC-USD,4h,2025-10-01 00:00:00,2026-07-26,19,train,long,2024-01-29 20:00:00,42995.99,43017.487994999996,2024-01-31 20:00:00,42316.99870928571,42295.84020993107,stop,13,466.99285714285674,42316.99870928571,43951.47370928571,0.05795350004555877,2493.013992478056,9972.055969912224,-39.34992179734439,4.944205970011242,2.4720931475250083,7.4162991175362505,-46.76622091488064,-0.004689727078947822,-0.003946018946952496,9925.289748997344,not computed,,
cheat-degraded-to-a-guess,1dd169613d57,3fd443c,BTC-USD,4h,2025-10-01 00:00:00,2026-07-26,20,train,short,2024-02-01 00:00:00,42580.0,42558.71,2024-02-05 12:00:00,43503.32,43525.071659999994,stop,28,629.7399999999996,43503.32,41299.23,0.05830351618386309,2481.322437249336,9925.289748997344,-53.83280256288445,5.018987157181946,2.5094801203900587,7.5284672775720045,-61.36126984045646,-0.006182315216203657,-0.005423801614287649,9863.928479156888,not computed,,
cheat-degraded-to-a-guess,1dd169613d57,3fd443c,BTC-USD,4h,2025-10-01 00:00:00,2026-07-26,21,train,short,2024-02-05 16:00:00,42644.04,42622.71798,2024-02-06 12:00:00,43207.93333714286,43229.53730381143,stop,6,390.1435714285716,43207.93333714286,41842.430837142856,0.05785605040359798,2465.982119789222,9863.928479156888,-32.62464133599023,4.967072408962755,2.483528048320842,7.450600457283597,-40.07524179327383,-0.004062807417749975,-0.0033074693723629677,9823.853237363614,not computed,,
cheat-degraded-to-a-guess,1dd169613d57,3fd443c,BTC-USD,4h,2025-10-01 00:00:00,2026-07-26,22,train,long,2024-02-06 16:00:00,43244.89,43266.512445,2024-02-07 20:00:00,44215.351016428576,44193.243340920366,target,8,474.41928571428747,42554.88351642857,44215.351016428576,0.056763607015076656,2455.9633093409034,9823.853237363614,55.086867760003585,4.96453120706656,2.4822793752500445,7.446810582316605,47.640057177686984,0.0048494268009313165,0.005607460375170163,9871.4932945413,not computed,,
cheat-degraded-to-a-guess,1dd169613d57,3fd443c,BTC-USD,4h,2025-10-01 00:00:00,2026-07-26,23,train,long,2024-02-08 00:00:00,44349.6,44371.7748,2024-02-08 12:00:00,45252.90622857143,45230.27977545715,target,4,440.5657142857152,43710.92622857143,45252.90622857143,0.055618089083858895,2467.873323635325,9871.4932945413,50.240166290690574,4.983495053474562,2.491760086778605,7.475255140253167,42.764911150437406,0.004332162305584038,0.005089419076896115,9914.258205691738,not computed,,
cheat-degraded-to-a-guess,1dd169613d57,3fd443c,BTC-USD,4h,2025-10-01 00:00:00,2026-07-26,24,train,long,2024-02-08 16:00:00,45432.3,45455.01615,2024-02-09 04:00:00,46394.19329285715,46370.99619621072,target,4,469.5885714285713,44750.63329285714,46394.19329285715,0.05452785547900271,2478.5645514229345,9914.258205691738,52.449978459136425,5.007075530427297,2.503550877708278,7.510626408135575,44.93935205100085,0.004532800247748373,0.005290358327466708,9959.197557742738,not computed,,
cheat-degraded-to-a-guess,1dd169613d57,3fd443c,BTC-USD,4h,2025-10-01 00:00:00,2026-07-26,25,train,long,2024-02-09 08:00:00,46202.01,46225.111005,2024-02-09 12:00:00,47300.863862142854,47277.213430211785,target,2,537.8764285714278,45418.29636214286,47300.863862142854,0.053862485893573564,2489.7993894356846,9959.197557742738,59.18700064876822,5.0362676309079335,2.5181486122038663,7.5544162431118,51.63258440565642,0.0051844121081336385,0.005942948747186315,10010.830142148396,not computed,,
cheat-degraded-to-a-guess,1dd169613d57,3fd443c,BTC-USD,4h,2025-10-01 00:00:00,2026-07-26,26,train,short,2024-02-09 16:00:00,47159.99,47136.410005,2024-02-09 16:00:00,48104.51321928571,48128.56547589535,stop,1,645.4021428571422,48104.51321928571,45845.60571928571,0.05309499673970979,2502.707535537099,10010.830142148396,-50.14945724855522,5.058093562566672,2.5290342439189075,7.587127806485579,-57.736585055040806,-0.00576741231598303,-0.005009520343114401,9953.093557093354,not computed,,
cheat-degraded-to-a-guess,1dd169613d57,3fd443c,BTC-USD,4h,2025-10-01 00:00:00,2026-07-26,27,train,long,2024-02-09 20:00:00,47509.48,47533.23474,2024-02-12 12:00:00,48924.61188285714,48900.14957691572,target,17,695.6885714285709,46489.701882857145,48924.61188285714,0.052348076096311105,2488.2733892733386,9953.093557093354,74.0794314901215,5.0481021404467175,2.5240695900807424,7.57217173052746,66.50725975959404,0.0066820691856348275,0.00744285493401463,10019.600816852948,not computed,,
cheat-degraded-to-a-guess,1dd169613d57,3fd443c,BTC-USD,4h,2025-10-01 00:00:00,2026-07-26,28,train,long,2024-02-12 16:00:00,49917.8,49942.7589,2024-02-13 12:00:00,48918.81282857143,48894.353422157146,stop,6,682.6307142857144,48918.81282857143,51308.02032857143,0.05015542311606732,2504.900204213237,10019.600816852948,-50.10462427052353,4.957217188088063,2.4785960678875796,7.435813255975643,-57.540437526499176,-0.005742787420205032,-0.005000660723553743,9962.060379326449,not computed,,
cheat-degraded-to-a-guess,1dd169613d57,3fd443c,BTC-USD,4h,2025-10-01 00:00:00,2026-07-26,29,train,short,2024-02-13 16:00:00,48727.47,48703.106265,2024-02-14 04:00:00,49873.54340785714,49898.48017956107,stop,4,780.2914285714281,49873.54340785714,47142.523407857145,0.0511366786602972,2490.5150948316123,9962.060379326449,-58.60638757870232,5.042157641411035,2.521064169108527,7.563221810519562,-66.16960938922188,-0.006642161045975883,-0.005882958479184081,9895.890769937227,not computed,,
